New Year's Day,1,1
Guru Govind Singh's Birthday,5,1
Makar Sankranti,14,1
Pongal,14,1
Basant Panchami/Sri Panchami,22,1
Republic Day,26,1
Guru Ravidas's Birthday,31,1
Swami Dayananda Saraswati Jayanti,10,2
Maha Shivaratri/Shivaratri,14,2
Shivaji Jayanti,19,2
Holika Dahana,1,3
Holi,2,3
Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand,18,3
Rama Navami,25,3
Mahavir Jayanti,29,3
Good Friday,30,3
Hazarat Ali's Birthday,1,4
Easter Day,1,4
Vaisakhi/Vishu,14,4
Mesadi,14,4
Vaisakhadi(Bengal)/Bahag Bihu (Assam),15,4
Buddha Purnima/Vesak,30,4
Guru Rabindranath's birthday,9,5
Jamat Ul-Vida,15,6
Idu'l Fitr,16,6
Rath Yatra,14,7
Independence Day,15,8
Parsi New Year's day/Nauraj,17,8
Id-ul-Zuha(Bakrid),22,8
Onam,25,8
Raksha Bandhan (Rakhi),26,8
Janmashtarni (Vaishnav),3,9
Ganesh Chaturthi/Vinayaka Chaturthi,13,9
Muharram/Ashura,21,9
Mahatma Gandhi Jayanti,2,10
Dussehra,19,10
Maharishi Valmiki's Birthday,24,10
Karaka Chaturthi (Karva Chouth),27,10
Deepavali (South India),6,11
Naraka Chaturdasi,6,11
Diwali (Deepavali),7,11
Govardhan Puja,8,11
Bhai Duj,9,11
Pratihar Sashthi or Surya Sashthi (Chhat Puja),13,11
Milad-un-Nabi or Id-e- Milad (birthday of Prophet Mohammad),21,11
Guru Nanak's Birthday,23,11
Guru Teg Bahadur's Martyrdom Day,24,11
Christmas Eve,24,12
Christmas Day,25,12
