,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,6,0,2
Up,2,6,20,1
Up,3,6,40,3
Up,4,7,0,4
Up,5,7,15,5
Up,6,7,30,2
Up,7,7,45,6
Up,8,8,0,1
Up,9,8,15,3
Up,10,8,30,8
Up,11,8,45,4
Up,12,9,0,5
Up,13,9,20,2
Up,14,9,40,7
Up,15,10,30,1
Up,16,11,30,4
Up,17,12,0,6
Up,18,12,30,7
Up,19,13,0,3
Up,20,13,30,8
Up,21,14,30,5
Up,22,15,0,2
Up,23,15,30,6
Up,24,16,0,1
Up,25,16,30,4
Up,26,17,0,7
Up,27,17,20,3
Up,28,17,40,8
Up,29,18,30,9
Up,30,19,0,11
Up,31,19,30,5
Up,32,20,0,12
Up,33,20,30,1
Up,34,21,0,13
Up,35,21,20,14
Up,36,21,40,15
Up,37,22,30,17
Up,38,23,30,4
Down,0,4,0,2
Down,1,5,30,1
Down,2,6,0,3
Down,3,6,10,4
Down,4,6,20,5
Down,5,6,30,2
Down,6,6,40,6
Down,7,6,50,1
Down,8,7,0,7
Down,9,7,12,3
Down,10,7,24,8
Down,11,7,36,4
Down,12,7,48,5
Down,13,8,0,2
Down,14,8,12,7
Down,15,8,24,6
Down,16,8,36,1
Down,17,8,48,3
Down,18,9,0,8
Down,19,9,15,4
Down,20,9,30,5
Down,21,9,45,6
Down,22,10,0,2
Down,23,10,20,7
Down,24,10,40,3
Down,25,11,0,1
Down,26,11,20,8
Down,27,11,40,5
Down,28,12,0,4
Down,29,12,20,2
Down,30,12,40,6
Down,31,13,0,7
Down,32,13,20,1
Down,33,13,40,3
Down,34,14,0,8
Down,35,14,30,4
Down,36,15,0,5
Down,37,15,30,7
Down,38,16,0,3
Down,39,16,20,8
Down,40,16,40,2
Down,41,17,0,9
Down,42,17,20,10
Down,43,17,40,11
Down,44,18,0,6
Down,45,18,30,5
Down,46,19,0,12
Down,47,19,20,1
Down,48,19,40,13
Down,49,20,0,14
Down,50,20,20,15
Down,51,20,40,16
Down,52,21,0,17
Down,53,21,20,18
Down,54,21,40,19
Down,55,22,0,4
Down,56,22,30,7
Down,57,23,0,2
Down,58,23,30,20
Summary,0,,Total Buses required on route:,20
