Route:- 3860,Date:- 10/12/2017,,,,,,,,Day:- Thursday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,1,2.38,11,0.89,88,0.76,4,2.38,1,1.96,11,1.16,74,0.89,4,1.96,2,2.15,22,1.01,162,0.82,8,2.15
05:00:01-06:00:00,0,0,0,0,0,0,0,0,1,1.96,0,0,0,0,7,3.43,1,1.08,0,0,0,0,7,1.88
06:00:01-07:00:00,3,7.14,5,0.41,40,0.35,21,12.5,8,15.69,73,7.68,564,6.79,56,27.45,11,11.83,78,3.58,604,3.05,77,20.7
07:00:01-08:00:00,3,7.14,49,3.98,442,3.84,21,12.5,4,7.84,47,4.95,359,4.32,9.6,4.71,7,7.53,96,4.4,801,4.04,31,8.33
08:00:01-09:00:00,5,11.9,81,6.58,753,6.54,35,20.83,4,7.84,83,8.74,748,9,17.6,8.63,9,9.68,164,7.52,1501,7.57,53,14.25
09:00:01-10:00:00,4,9.52,213,17.3,2032,17.65,28,16.67,4,7.84,105,11.05,942,11.34,22.4,10.98,8,8.6,318,14.58,2974,15,50,13.44
10:00:01-11:00:00,3,7.14,182,14.78,1792,15.56,21,12.5,3,5.88,49,5.16,416,5.01,21,10.29,6,6.45,231,10.59,2208,11.14,42,11.29
11:00:01-12:00:00,2,4.76,56,4.55,517,4.49,7.2,4.29,3,5.88,48,5.05,453,5.45,21,10.29,5,5.38,104,4.77,970,4.89,28,7.53
12:00:01-13:00:00,5,11.9,121,9.83,1205,10.46,20,11.9,2,3.92,60,6.32,664,7.99,8,3.92,7,7.53,181,8.3,1869,9.43,28,7.53
13:00:01-14:00:00,3,7.14,64,5.2,536,4.65,10.2,6.07,5,9.8,102,10.74,748,9,35,17.16,8,8.6,166,7.61,1284,6.48,45,12.1
14:00:01-15:00:00,1,2.38,50,4.06,433,3.76,4,2.38,1,1.96,4,0.42,50,0.6,7,3.43,2,2.15,54,2.48,483,2.44,11,2.96
15:00:01-16:00:00,3,7.14,61,4.96,583,5.06,21,12.5,2,3.92,43,4.53,404,4.86,14,6.86,5,5.38,104,4.77,987,4.98,35,9.41
16:00:01-17:00:00,1,2.38,35,2.84,316,2.74,4,2.38,3,5.88,50,5.26,497,5.98,21,10.29,4,4.3,85,3.9,813,4.1,25,6.72
17:00:01-18:00:00,1,2.38,13,1.06,125,1.09,7,4.17,2,3.92,98,10.32,999,12.02,12,5.88,3,3.23,111,5.09,1124,5.67,19,5.11
18:00:01-19:00:00,1,2.38,92,7.47,856,7.43,4,2.38,1,1.96,36,3.79,134,1.61,7,3.43,2,2.15,128,5.87,990,4.99,11,2.96
19:00:01-20:00:00,2,4.76,83,6.74,786,6.83,14,8.33,2,3.92,68,7.16,618,7.44,14,6.86,4,4.3,151,6.92,1404,7.08,28,7.53
20:00:01-21:00:00,2,4.76,57,4.63,521,4.52,14,8.33,1,1.96,61,6.42,562,6.76,4,1.96,3,3.23,118,5.41,1083,5.46,18,4.84
21:00:01-22:00:00,2,4.76,49,3.98,402,3.49,6.4,3.81,3,5.88,12,1.26,78,0.94,21,10.29,5,5.38,61,2.8,480,2.42,27,7.26
22:00:01-23:00:00,0,0,9,0.73,88,0.76,0,0,0,0,0,0,0,0,0,0,0,0,9,0.41,88,0.44,0,0
23:00:01-24:00:00,0,0,0,0,0,0,0,0,1,1.96,0,0,0,0,7,3.43,1,1.08,0,0,0,0,7,1.88
,42,,1231,,11515,,168,,51,,950,,8310,,204,,93,,2181,,19825,,372,
