Route:- 4781,Date:- 10/16/2017,,,,,,,,Day:- Monday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,1,3.03,0,0,0,0,26.8,3.03,0,0,14,0.86,90,0.54,0,0,1,1.43,14,0.42,90,0.26,27,1.44
05:00:01-06:00:00,2,6.06,29,1.72,384,2.11,53.6,6.06,0,0,0,0,0,0,0,0,2,2.86,29,0.87,384,1.1,54,2.88
06:00:01-07:00:00,3,9.09,60,3.57,414,2.28,10.5,1.19,2,5.41,49,3,388,2.32,53.6,5.41,5,7.14,109,3.29,802,2.29,64,3.41
07:00:01-08:00:00,1,3.03,134,7.97,1252,6.88,16.9,1.91,3,8.11,123,7.53,1164,6.95,8.4,0.85,4,5.71,257,7.75,2416,6.91,25,1.33
08:00:01-09:00:00,1,3.03,78,4.64,531,2.92,26.8,3.03,2,5.41,203,12.43,2148,12.82,8.8,0.89,3,4.29,281,8.48,2679,7.67,36,1.92
09:00:01-10:00:00,1,3.03,42,2.5,348,1.91,7.7,0.87,0,0,76,4.65,694,4.14,0,0,1,1.43,118,3.56,1042,2.98,8,0.43
10:00:01-11:00:00,1,3.03,12,0.71,122,0.67,26.8,3.03,1,2.7,33,2.02,364,2.17,26.8,2.7,2,2.86,45,1.36,486,1.39,54,2.88
11:00:01-12:00:00,1,3.03,64,3.8,775,4.26,26.8,3.03,6,16.22,41,2.51,346,2.06,54,5.45,7,10,105,3.17,1121,3.21,81,4.32
12:00:01-13:00:00,3,9.09,54,3.21,552,3.03,11.4,1.29,3,8.11,23,1.41,271,1.62,80.4,8.11,6,8.57,77,2.32,823,2.35,92,4.9
13:00:01-14:00:00,2,6.06,103,6.12,1174,6.45,53.6,6.06,2,5.41,59,3.61,780,4.65,6.6,0.67,4,5.71,162,4.89,1954,5.59,60,3.2
14:00:01-15:00:00,1,3.03,46,2.73,666,3.66,4.8,0.54,4,10.81,125,7.65,1364,8.14,11.6,1.17,5,7.14,171,5.16,2030,5.81,16,0.85
15:00:01-16:00:00,2,6.06,94,5.59,1070,5.88,53.6,6.06,0,0,88,5.39,882,5.26,0,0,2,2.86,182,5.49,1952,5.58,54,2.88
16:00:01-17:00:00,2,6.06,92,5.47,1252,6.88,17.6,1.99,2,5.41,73,4.47,716,4.27,53.6,5.41,4,5.71,165,4.98,1968,5.63,71,3.78
17:00:01-18:00:00,4,12.12,190,11.3,2395,13.17,107.2,12.12,0,0,94,5.76,923,5.51,0,0,4,5.71,284,8.57,3318,9.49,107,5.7
18:00:01-19:00:00,1,3.03,107,6.36,1225,6.73,26.8,3.03,3,8.11,82,5.02,1074,6.41,80.4,8.11,4,5.71,189,5.7,2299,6.58,107,5.7
19:00:01-20:00:00,3,9.09,132,7.85,1357,7.46,80.4,9.09,1,2.7,173,10.59,1796,10.72,7.1,0.72,4,5.71,305,9.2,3153,9.02,88,4.69
20:00:01-21:00:00,2,6.06,269,15.99,2990,16.44,8.8,1,2,5.41,95,5.82,1008,6.01,53.6,5.41,4,5.71,364,10.98,3998,11.44,62,3.3
21:00:01-22:00:00,1,3.03,111,6.6,1030,5.66,16.9,1.91,3,8.11,141,8.63,1460,8.71,19.2,1.94,4,5.71,252,7.6,2490,7.12,36,1.92
22:00:01-23:00:00,1,3.03,57,3.39,572,3.14,26.8,3.03,1,2.7,112,6.86,1022,6.1,10.5,1.06,2,2.86,169,5.1,1594,4.56,37,1.97
23:00:01-24:00:00,0,0,8,0.48,82,0.45,0,0,2,5.41,29,1.78,270,1.61,14,1.41,2,2.86,37,1.12,352,1.01,14,0.75
,33,,1682,,18191,,884.4,,37,,1633,,16760,,991.6,,70,,3315,,34951,,1876,
