Route:- 3400,Date:- 10/20/2017,,,,,,,,Day:- Friday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
06:00:01-07:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
07:00:01-08:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
08:00:01-09:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
09:00:01-10:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
10:00:01-11:00:00,4,10.26,103,4.85,1049,4.72,34.4,10.26,1,2.5,0,0,0,0,8.6,2.5,5,6.33,103,2.45,1049,2.31,43,6.33
11:00:01-12:00:00,2,5.13,163,7.68,1728,7.77,13.6,4.05,2,5,198,9.54,2458,10.62,17.2,5,4,5.06,361,8.6,4186,9.22,31,4.57
12:00:01-13:00:00,4,10.26,248,11.69,2766,12.43,34.4,10.26,3,7.5,127,6.12,1510,6.53,25.8,7.5,7,8.86,375,8.93,4276,9.42,60,8.84
13:00:01-14:00:00,2,5.13,217,10.23,2482,11.16,17.2,5.13,4,10,230,11.08,2461,10.64,24.8,7.21,6,7.59,447,10.65,4943,10.89,42,6.19
14:00:01-15:00:00,4,10.26,202,9.52,1972,8.86,16,4.77,5,12.5,189,9.1,2107,9.11,43,12.5,9,11.39,391,9.31,4079,8.99,59,8.69
15:00:01-16:00:00,5,12.82,126,5.94,1509,6.78,43,12.82,1,2.5,154,7.42,1756,7.59,6.2,1.8,6,7.59,280,6.67,3265,7.19,49,7.22
16:00:01-17:00:00,3,7.69,189,8.91,2133,9.59,25.8,7.69,4,10,138,6.65,1551,6.7,34.4,10,7,8.86,327,7.79,3684,8.12,60,8.84
17:00:01-18:00:00,3,7.69,125,5.89,1283,5.77,18.6,5.55,2,5,191,9.2,2070,8.95,17.2,5,5,6.33,316,7.53,3353,7.39,36,5.3
18:00:01-19:00:00,1,2.56,198,9.33,2001,8.99,4,1.19,4,10,255,12.28,3041,13.14,7.2,2.09,5,6.33,453,10.79,5042,11.11,11,1.62
19:00:01-20:00:00,4,10.26,215,10.13,1967,8.84,34.4,10.26,2,5,175,8.43,1859,8.04,7.2,2.09,6,7.59,390,9.29,3826,8.43,42,6.19
20:00:01-21:00:00,3,7.69,126,5.94,1282,5.76,25.8,7.69,5,12.5,139,6.7,1499,6.48,43,12.5,8,10.13,265,6.31,2781,6.13,69,10.16
21:00:01-22:00:00,4,10.26,162,7.63,1600,7.19,34.4,10.26,3,7.5,115,5.54,1223,5.29,20.4,5.93,7,8.86,277,6.6,2823,6.22,55,8.1
22:00:01-23:00:00,0,0,48,2.26,476,2.14,0,0,4,10,146,7.03,1411,6.1,22.8,6.63,4,5.06,194,4.62,1887,4.16,23,3.39
23:00:01-24:00:00,0,0,0,0,0,0,0,0,0,0,19,0.92,190,0.82,0,0,0,0,19,0.45,190,0.42,0,0
,39,,2122,,22248,,335.4,,40,,2076,,23136,,344,,79,,4198,,45384,,679,
