Route:- 6064,Date:- 10/20/2017,,,,,,,,Day:- Friday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,5,3.31,124,1.27,1067,1.32,22,3.31,0,0,0,0,0,0,0,0,5,3.31,124,1.27,1067,1.32,22,3.31
05:00:01-06:00:00,3,1.99,89,0.91,661,0.82,6,0.9,0,0,0,0,0,0,0,0,3,1.99,89,0.91,661,0.82,6,0.9
06:00:01-07:00:00,10,6.62,121,1.24,1034,1.28,31,4.67,0,0,0,0,0,0,0,0,10,6.62,121,1.24,1034,1.28,31,4.67
07:00:01-08:00:00,10,6.62,224,2.3,1504,1.86,24,3.61,0,0,0,0,0,0,0,0,10,6.62,224,2.3,1504,1.86,24,3.61
08:00:01-09:00:00,8,5.3,354,3.63,2652,3.28,16,2.41,0,0,0,0,0,0,0,0,8,5.3,354,3.63,2652,3.28,16,2.41
09:00:01-10:00:00,10,6.62,410,4.21,4218,5.22,44,6.62,0,0,0,0,0,0,0,0,10,6.62,410,4.21,4218,5.22,44,6.63
10:00:01-11:00:00,10,6.62,496,5.09,4199,5.2,44,6.62,0,0,0,0,0,0,0,0,10,6.62,496,5.09,4199,5.2,44,6.63
11:00:01-12:00:00,7,4.64,637,6.53,5498,6.81,16.8,2.53,0,0,0,0,0,0,0,0,7,4.64,637,6.53,5498,6.81,17,2.56
12:00:01-13:00:00,4,2.65,551,5.65,4829,5.98,17.6,2.65,0,0,0,0,0,0,0,0,4,2.65,551,5.65,4829,5.98,18,2.71
13:00:01-14:00:00,10,6.62,536,5.5,4330,5.36,24,3.61,0,0,0,0,0,0,0,0,10,6.62,536,5.5,4330,5.36,24,3.61
14:00:01-15:00:00,5,3.31,493,5.06,4246,5.26,22,3.31,0,0,0,0,0,0,0,0,5,3.31,493,5.06,4246,5.26,22,3.31
15:00:01-16:00:00,12,7.95,840,8.62,7364,9.11,28.8,4.33,0,0,0,0,0,0,0,0,12,7.95,840,8.62,7364,9.11,29,4.37
16:00:01-17:00:00,11,7.28,812,8.33,6688,8.28,48.4,7.28,0,0,0,0,0,0,0,0,11,7.28,812,8.33,6688,8.28,48,7.23
17:00:01-18:00:00,5,3.31,641,6.57,5090,6.3,15.5,2.33,0,0,0,0,0,0,0,0,5,3.31,641,6.57,5090,6.3,16,2.41
18:00:01-19:00:00,6,3.97,638,6.54,5225,6.47,14.4,2.17,0,0,0,0,0,0,0,0,6,3.97,638,6.54,5225,6.47,14,2.11
19:00:01-20:00:00,11,7.28,898,9.21,7266,8.99,48.4,7.28,0,0,0,0,0,0,0,0,11,7.28,898,9.21,7266,8.99,48,7.23
20:00:01-21:00:00,6,3.97,661,6.78,5248,6.5,18.6,2.8,0,0,0,0,0,0,0,0,6,3.97,661,6.78,5248,6.5,19,2.86
21:00:01-22:00:00,6,3.97,551,5.65,4374,5.41,14.4,2.17,0,0,0,0,0,0,0,0,6,3.97,551,5.65,4374,5.41,14,2.11
22:00:01-23:00:00,6,3.97,373,3.83,2878,3.56,14.4,2.17,0,0,0,0,0,0,0,0,6,3.97,373,3.83,2878,3.56,14,2.11
23:00:01-24:00:00,6,3.97,301,3.09,2420,3,12,1.81,0,0,0,0,0,0,0,0,6,3.97,301,3.09,2420,3,12,1.81
,151,,9750,,80791,,664.4,,0,,0,,0,,0,,151,,9750,,80791,,664,
