Route:- 3310,Date:- 10/24/2017,,,,,,,,Day:- Tuesday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,1,3.13,16,1.06,162,1.01,9,3.13,0,0,0,0,0,0,0,0,1,1.56,16,0.57,162,0.54,9,1.56
06:00:01-07:00:00,4,12.5,86,5.7,1012,6.3,20.8,7.22,3,9.38,24,1.82,266,1.92,27,9.38,7,10.94,110,3.89,1278,4.27,48,8.33
07:00:01-08:00:00,3,9.38,85,5.64,1000,6.23,27,9.38,2,6.25,80,6.07,850,6.13,18,6.25,5,7.81,165,5.84,1850,6.18,45,7.81
08:00:01-09:00:00,2,6.25,130,8.62,1676,10.44,8,2.78,3,9.38,115,8.73,1634,11.79,12,4.17,5,7.81,245,8.67,3310,11.06,20,3.47
09:00:01-10:00:00,2,6.25,191,12.67,2194,13.66,18,6.25,2,6.25,116,8.81,986,7.11,8,2.78,4,6.25,307,10.87,3180,10.63,26,4.51
10:00:01-11:00:00,3,9.38,123,8.16,1160,7.22,27,9.38,2,6.25,61,4.63,642,4.63,18,6.25,5,7.81,184,6.51,1802,6.02,45,7.81
11:00:01-12:00:00,2,6.25,37,2.45,302,1.88,9.2,3.19,3,9.38,107,8.12,1275,9.2,27,9.38,5,7.81,144,5.1,1577,5.27,36,6.25
12:00:01-13:00:00,1,3.13,96,6.37,1095,6.82,4.6,1.6,0,0,6,0.46,58,0.42,0,0,1,1.56,102,3.61,1153,3.85,5,0.87
13:00:01-14:00:00,2,6.25,71,4.71,713,4.44,8.8,3.06,2,6.25,66,5.01,694,5.01,18,6.25,4,6.25,137,4.85,1407,4.7,27,4.69
14:00:01-15:00:00,1,3.13,38,2.52,543,3.38,4,1.39,2,6.25,95,7.21,901,6.5,18,6.25,3,4.69,133,4.71,1444,4.83,22,3.82
15:00:01-16:00:00,1,3.13,69,4.58,741,4.61,9,3.13,1,3.13,8,0.61,76,0.55,3.6,1.25,2,3.13,77,2.73,817,2.73,13,2.26
16:00:01-17:00:00,2,6.25,83,5.5,751,4.68,8,2.78,2,6.25,99,7.52,1140,8.22,18,6.25,4,6.25,182,6.44,1891,6.32,26,4.51
17:00:01-18:00:00,1,3.13,38,2.52,340,2.12,9,3.13,2,6.25,127,9.64,1202,8.67,10,3.47,3,4.69,165,5.84,1542,5.15,19,3.3
18:00:01-19:00:00,2,6.25,126,8.36,1326,8.26,4.8,1.67,1,3.13,102,7.74,962,6.94,9,3.13,3,4.69,228,8.07,2288,7.65,14,2.43
19:00:01-20:00:00,1,3.13,115,7.63,1106,6.89,4,1.39,2,6.25,83,6.3,998,7.2,15.2,5.28,3,4.69,198,7.01,2104,7.03,19,3.3
20:00:01-21:00:00,1,3.13,82,5.44,834,5.19,9,3.13,1,3.13,66,5.01,632,4.56,2.3,0.8,2,3.13,148,5.24,1466,4.9,11,1.91
21:00:01-22:00:00,3,9.38,101,6.7,928,5.78,27,9.38,2,6.25,59,4.48,582,4.2,18,6.25,5,7.81,160,5.66,1510,5.05,45,7.81
22:00:01-23:00:00,0,0,21,1.39,178,1.11,0,0,2,6.25,103,7.82,964,6.95,18,6.25,2,3.13,124,4.39,1142,3.82,18,3.13
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,32,,1508,,16061,,288,,32,,1317,,13862,,288,,64,,2825,,29923,,576,
