Route:- 3860,Date:- 10/29/2017,,,,,,,,Day:- Sunday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
06:00:01-07:00:00,4,10.81,4,0.84,38,0.88,28,10.81,5,12.2,13,2.4,88,1.7,35,12.2,9,11.54,17,1.67,126,1.33,63,11.54
07:00:01-08:00:00,4,10.81,21,4.39,174,4.05,8,3.09,6,14.63,40,7.39,432,8.35,42,14.63,10,12.82,61,5.99,606,6.4,50,9.16
08:00:01-09:00:00,5,13.51,37,7.74,350,8.15,18.5,7.14,4,9.76,56,10.35,454,8.78,28,9.76,9,11.54,93,9.13,804,8.49,46,8.42
09:00:01-10:00:00,3,8.11,53,11.09,490,11.41,21,8.11,4,9.76,57,10.54,548,10.6,28,9.76,7,8.97,110,10.79,1038,10.96,49,8.97
10:00:01-11:00:00,4,10.81,34,7.11,286,6.66,28,10.81,4,9.76,37,6.84,342,6.61,9.6,3.34,8,10.26,71,6.97,628,6.63,38,6.96
11:00:01-12:00:00,3,8.11,41,8.58,398,9.27,21,8.11,4,9.76,39,7.21,506,9.78,10.8,3.76,7,8.97,80,7.85,904,9.55,32,5.86
12:00:01-13:00:00,2,5.41,15,3.14,148,3.45,3.2,1.24,2,4.88,27,4.99,260,5.03,14,4.88,4,5.13,42,4.12,408,4.31,17,3.11
13:00:01-14:00:00,1,2.7,13,2.72,104,2.42,2.9,1.12,1,2.44,16,2.96,202,3.91,7,2.44,2,2.56,29,2.85,306,3.23,10,1.83
14:00:01-15:00:00,2,5.41,24,5.02,222,5.17,13.2,5.1,1,2.44,12,2.22,121,2.34,7,2.44,3,3.85,36,3.53,343,3.62,20,3.66
15:00:01-16:00:00,0,0,5,1.05,38,0.88,0,0,2,4.88,19,3.51,114,2.2,14,4.88,2,2.56,24,2.36,152,1.61,14,2.56
16:00:01-17:00:00,2,5.41,13,2.72,134,3.12,14,5.41,1,2.44,30,5.55,278,5.38,7,2.44,3,3.85,43,4.22,412,4.35,21,3.85
17:00:01-18:00:00,2,5.41,33,6.9,296,6.89,8,3.09,2,4.88,35,6.47,345,6.67,14,4.88,4,5.13,68,6.67,641,6.77,22,4.03
18:00:01-19:00:00,1,2.7,37,7.74,329,7.66,3.6,1.39,1,2.44,79,14.6,779,15.06,4,1.39,2,2.56,116,11.38,1108,11.7,8,1.47
19:00:01-20:00:00,2,5.41,61,12.76,541,12.6,14,5.41,2,4.88,36,6.65,275,5.32,14,4.88,4,5.13,97,9.52,816,8.62,28,5.13
20:00:01-21:00:00,2,5.41,86,17.99,747,17.39,14,5.41,1,2.44,45,8.32,428,8.28,7,2.44,3,3.85,131,12.86,1175,12.41,21,3.85
21:00:01-22:00:00,0,0,1,0.21,0,0,0,0,1,2.44,0,0,0,0,7,2.44,1,1.28,1,0.1,0,0,7,1.28
22:00:01-23:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,37,,478,,4295,,259,,41,,541,,5172,,287,,78,,1019,,9467,,546,
