Route:- 4781,Date:- 10/04/2017,,,,,,,,Day:- Wednesday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,1,2.63,0,0,0,0,26.8,2.63,0,0,12,0.61,142,0.69,0,0,1,1.27,12,0.29,142,0.33,27,1.28
05:00:01-06:00:00,1,2.63,55,2.52,750,3.43,7.9,0.78,0,0,0,0,0,0,0,0,1,1.27,55,1.33,750,1.77,8,0.38
06:00:01-07:00:00,3,7.89,78,3.57,572,2.61,19.8,1.94,2,4.88,34,1.74,425,2.07,53.6,4.88,5,6.33,112,2.7,997,2.35,73,3.45
07:00:01-08:00:00,3,7.89,277,12.69,2851,13.02,13.2,1.3,1,2.44,94,4.8,1415,6.88,9.9,0.9,4,5.06,371,8.96,4266,10.05,23,1.09
08:00:01-09:00:00,1,2.63,310,14.2,2968,13.56,26.8,2.63,3,7.32,107,5.46,1274,6.19,4.5,0.41,4,5.06,417,10.07,4242,9.99,31,1.46
09:00:01-10:00:00,1,2.63,72,3.3,888,4.06,11.9,1.17,2,4.88,254,12.97,3280,15.94,21,1.91,3,3.8,326,7.87,4168,9.82,33,1.56
10:00:01-11:00:00,1,2.63,102,4.67,852,3.89,5,0.49,1,2.44,177,9.04,2323,11.29,26.8,2.44,2,2.53,279,6.74,3175,7.48,32,1.51
11:00:01-12:00:00,2,5.26,94,4.31,926,4.23,53.6,5.26,5,12.2,142,7.25,1202,5.84,88,8.01,7,8.86,236,5.7,2128,5.01,142,6.71
12:00:01-13:00:00,4,10.53,184,8.43,2163,9.88,71.2,6.99,4,9.76,165,8.43,1841,8.95,42,3.82,8,10.13,349,8.43,4004,9.43,113,5.34
13:00:01-14:00:00,0,0,144,6.6,1536,7.02,0,0,2,4.88,45,2.3,380,1.85,2.8,0.25,2,2.53,189,4.56,1916,4.51,3,0.14
14:00:01-15:00:00,2,5.26,76,3.48,668,3.05,18.4,1.81,4,9.76,141,7.2,1288,6.26,107.2,9.76,6,7.59,217,5.24,1956,4.61,126,5.95
15:00:01-16:00:00,3,7.89,40,1.83,354,1.62,50.7,4.98,1,2.44,90,4.6,821,3.99,7,0.64,4,5.06,130,3.14,1175,2.77,58,2.74
16:00:01-17:00:00,3,7.89,82,3.76,755,3.45,80.4,7.89,2,4.88,75,3.83,396,1.93,5.6,0.51,5,6.33,157,3.79,1151,2.71,86,4.06
17:00:01-18:00:00,3,7.89,74,3.39,730,3.33,4.2,0.41,2,4.88,133,6.79,1104,5.37,14,1.27,5,6.33,207,5,1834,4.32,18,0.85
18:00:01-19:00:00,1,2.63,112,5.13,858,3.92,26.8,2.63,1,2.44,95,4.85,1088,5.29,5.4,0.49,2,2.53,207,5,1946,4.58,32,1.51
19:00:01-20:00:00,2,5.26,108,4.95,1144,5.23,8.8,0.86,1,2.44,78,3.98,802,3.9,2.8,0.25,3,3.8,186,4.49,1946,4.58,12,0.57
20:00:01-21:00:00,4,10.53,196,8.98,2154,9.84,11.6,1.14,1,2.44,90,4.6,840,4.08,26.8,2.44,5,6.33,286,6.91,2994,7.05,38,1.79
21:00:01-22:00:00,1,2.63,127,5.82,1272,5.81,6.4,0.63,4,9.76,69,3.52,640,3.11,39.6,3.6,5,6.33,196,4.73,1912,4.5,46,2.17
22:00:01-23:00:00,2,5.26,49,2.24,444,2.03,9.6,0.94,3,7.32,110,5.62,1030,5.01,12.6,1.15,5,6.33,159,3.84,1474,3.47,22,1.04
23:00:01-24:00:00,0,0,3,0.14,8,0.04,0,0,2,4.88,47,2.4,280,1.36,23.4,2.13,2,2.53,50,1.21,288,0.68,23,1.09
,38,,2183,,21893,,1018.4,,41,,1958,,20571,,1098.8,,79,,4141,,42464,,2117,
