Route:- 3860,Date:- 10/07/2017,,,,,,,,Day:- Saturday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
06:00:01-07:00:00,3,5.66,2,0.15,18,0.15,21,5.66,7,11.67,68,6.12,556,5.4,49,11.67,10,8.85,70,2.91,574,2.59,70,8.85
07:00:01-08:00:00,6,11.32,45,3.47,399,3.36,24,6.47,7,11.67,58,5.22,623,6.05,49,11.67,13,11.5,103,4.28,1022,4.61,73,9.23
08:00:01-09:00:00,6,11.32,104,8.02,876,7.37,42,11.32,5,8.33,88,7.91,826,8.02,5.5,1.31,11,9.73,192,7.97,1702,7.67,48,6.07
09:00:01-10:00:00,5,9.43,138,10.65,1288,10.84,35,9.43,5,8.33,75,6.74,778,7.55,35,8.33,10,8.85,213,8.85,2066,9.31,70,8.85
10:00:01-11:00:00,2,3.77,121,9.34,1059,8.91,2.2,0.59,4,6.67,75,6.74,771,7.49,16,3.81,6,5.31,196,8.14,1830,8.25,18,2.28
11:00:01-12:00:00,4,7.55,114,8.8,1102,9.27,28,7.55,4,6.67,38,3.42,359,3.49,4.4,1.05,8,7.08,152,6.31,1461,6.59,32,4.05
12:00:01-13:00:00,3,5.66,85,6.56,778,6.55,6,1.62,3,5,51,4.59,490,4.76,21,5,6,5.31,136,5.65,1268,5.72,27,3.41
13:00:01-14:00:00,3,5.66,40,3.09,333,2.8,21,5.66,2,3.33,70,6.29,678,6.58,2.2,0.52,5,4.42,110,4.57,1011,4.56,23,2.91
14:00:01-15:00:00,2,3.77,101,7.79,983,8.27,14,3.77,3,5,45,4.05,136,1.32,3.3,0.79,5,4.42,146,6.06,1119,5.04,17,2.15
15:00:01-16:00:00,4,7.55,77,5.94,684,5.76,28,7.55,2,3.33,85,7.64,814,7.9,14,3.33,6,5.31,162,6.73,1498,6.75,42,5.31
16:00:01-17:00:00,3,5.66,71,5.48,671,5.65,21,5.66,6,10,64,5.76,623,6.05,42,10,9,7.96,135,5.61,1294,5.83,63,7.96
17:00:01-18:00:00,3,5.66,71,5.48,662,5.57,21,5.66,3,5,119,10.7,1214,11.79,20.1,4.79,6,5.31,190,7.89,1876,8.46,41,5.18
18:00:01-19:00:00,3,5.66,147,11.34,1363,11.47,7.2,1.94,2,3.33,85,7.64,726,7.05,14,3.33,5,4.42,232,9.63,2089,9.42,21,2.65
19:00:01-20:00:00,2,3.77,53,4.09,498,4.19,2.2,0.59,3,5,73,6.56,608,5.9,21,5,5,4.42,126,5.23,1106,4.99,23,2.91
20:00:01-21:00:00,1,1.89,84,6.48,775,6.52,7,1.89,3,5,108,9.71,1031,10.01,7.2,1.71,4,3.54,192,7.97,1806,8.14,14,1.77
21:00:01-22:00:00,2,3.77,37,2.85,336,2.83,14,3.77,1,1.67,9,0.81,66,0.64,2.4,0.57,3,2.65,46,1.91,402,1.81,16,2.02
22:00:01-23:00:00,1,1.89,6,0.46,60,0.5,7,1.89,0,0,1,0.09,0,0,0,0,1,0.88,7,0.29,60,0.27,7,0.88
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,53,,1296,,11885,,371,,60,,1112,,10299,,420,,113,,2408,,22184,,791,
