,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,7,30,3
Up,2,8,0,1
Up,3,8.0,20.0,2.0
Up,4,9,30,3
Up,5,10,30,1
Up,6,11,0,2.0
Up,7,11.0,20.0,4
Up,8,12,0,3.0
Up,9,12.0,20.0,5
Up,10,13,0,1.0
Up,11,13.0,20.0,2.0
Up,12,14,30,4.0
Up,13,15,30,3.0
Up,14,16,0,5.0
Up,15,16.0,20.0,1.0
Up,16,17,30,2.0
Up,17,18,30,4.0
Up,18,19,30,3.0
Up,19,22,30,5.0
Up,20,23,30,2.0
Down,0,4,0,2
Down,1,7,0,1
Down,2,7.0,20.0,2
Down,3,8,30,3
Down,4,9,0,1
Down,5,9.0,20.0,2.0
Down,6,10,0,4
Down,7,10.0,20.0,3
Down,8,11,0,5
Down,9,11.0,20.0,1
Down,10,12,0,2.0
Down,11,12.0,20.0,4.0
Down,12,13,30,3.0
Down,13,14,0,5.0
Down,14,14.0,20.0,1.0
Down,15,15,0,2.0
Down,16,15.0,20.0,4.0
Down,17,20,30,1.0
Down,18,22,30,4.0
Summary,0,,Total Buses required on route:,5
