Route:- 3310,Date:- 01/01/2018,,,,,,,,Day:- Monday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,1,3.13,22,1.86,242,2.03,9,3.13,1,2.94,55,5.07,642,5.58,3.9,1.27,2,3.03,77,3.4,884,3.78,13,2.19
05:00:01-06:00:00,1,3.13,16,1.35,244,2.05,9,3.13,0,0,0,0,0,0,0,0,1,1.52,16,0.71,244,1.04,9,1.52
06:00:01-07:00:00,2,6.25,49,4.14,506,4.25,15.8,5.49,1,2.94,13,1.2,170,1.48,9,2.94,3,4.55,62,2.73,676,2.89,25,4.21
07:00:01-08:00:00,3,9.38,55,4.65,654,5.49,27,9.38,4,11.76,85,7.83,936,8.14,36,11.76,7,10.61,140,6.17,1590,6.79,63,10.61
08:00:01-09:00:00,2,6.25,65,5.49,590,4.95,18,6.25,2,5.88,117,10.78,1104,9.6,15.2,4.97,4,6.06,182,8.02,1694,7.24,33,5.56
09:00:01-10:00:00,1,3.13,109,9.21,1244,10.45,9,3.13,2,5.88,15,1.38,182,1.58,18,5.88,3,4.55,124,5.47,1426,6.09,27,4.55
10:00:01-11:00:00,1,3.13,26,2.2,230,1.93,9,3.13,2,5.88,63,5.81,707,6.15,11.6,3.79,3,4.55,89,3.92,937,4,21,3.54
11:00:01-12:00:00,2,6.25,126,10.65,1308,10.98,5.6,1.94,2,5.88,29,2.67,316,2.75,18,5.88,4,6.06,155,6.83,1624,6.94,24,4.04
12:00:01-13:00:00,2,6.25,43,3.63,432,3.63,18,6.25,1,2.94,12,1.11,120,1.04,7.6,2.48,3,4.55,55,2.43,552,2.36,26,4.38
13:00:01-14:00:00,1,3.13,66,5.58,715,6,9,3.13,2,5.88,52,4.79,590,5.13,18,5.88,3,4.55,118,5.2,1305,5.57,27,4.55
14:00:01-15:00:00,3,9.38,73,6.17,500,4.2,21.6,7.5,1,2.94,74,6.82,631,5.49,9,2.94,4,6.06,147,6.48,1131,4.83,31,5.22
15:00:01-16:00:00,1,3.13,36,3.04,380,3.19,9,3.13,1,2.94,45,4.15,464,4.03,4,1.31,2,3.03,81,3.57,844,3.61,13,2.19
16:00:01-17:00:00,1,3.13,71,6,662,5.56,4,1.39,3,8.82,114,10.51,1452,12.62,27,8.82,4,6.06,185,8.16,2114,9.03,31,5.22
17:00:01-18:00:00,3,9.38,78,6.59,681,5.72,27,9.38,3,8.82,108,9.95,1077,9.36,18.9,6.18,6,9.09,186,8.2,1758,7.51,46,7.74
18:00:01-19:00:00,3,9.38,70,5.92,651,5.47,21.6,7.5,1,2.94,96,8.85,1074,9.34,9,2.94,4,6.06,166,7.32,1725,7.37,31,5.22
19:00:01-20:00:00,1,3.13,102,8.62,1013,8.51,9,3.13,2,5.88,48,4.42,420,3.65,18,5.88,3,4.55,150,6.61,1433,6.12,27,4.55
20:00:01-21:00:00,2,6.25,83,7.02,944,7.93,18,6.25,3,8.82,74,6.82,736,6.4,27,8.82,5,7.58,157,6.92,1680,7.18,45,7.58
21:00:01-22:00:00,2,6.25,85,7.19,838,7.04,14.4,5,2,5.88,42,3.87,452,3.93,18,5.88,4,6.06,127,5.6,1290,5.51,32,5.39
22:00:01-23:00:00,0,0,8,0.68,75,0.63,0,0,1,2.94,43,3.96,428,3.72,9,2.94,1,1.52,51,2.25,503,2.15,9,1.52
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,32,,1183,,11909,,288,,34,,1085,,11501,,306,,66,,2268,,23410,,594,
