,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,6,0,2
Up,2,6,30.0,1
Up,3,6.0,53.0,3.0
Up,4,7,0,2
Up,5,7.0,10.0,1.0
Up,6,7.0,15.0,4.0
Up,7,7.0,17.0,5.0
Up,8,8,0,6.0
Up,9,8,30.0,3.0
Up,10,8,45.0,2
Up,11,8,53.0,1.0
Up,12,9,0,4.0
Up,13,9,30.0,5.0
Up,14,9,45.0,6.0
Up,15,10,0,3.0
Up,16,10,30.0,7.0
Up,17,11,0,8.0
Up,18,11,30.0,2.0
Up,19,12,0,1.0
Up,20,12,30.0,6.0
Up,21,13,0,4.0
Up,22,13,30.0,5.0
Up,23,14,0,3.0
Up,24,15,0,7.0
Up,25,16,0,8.0
Up,26,17,0,2.0
Up,27,18,0,1.0
Up,28,19,0,6.0
Up,29,20,0,4.0
Up,30,21,0,5.0
Up,31,21,30.0,3.0
Up,32,,Total Buses required:,2.0
Down,0,4,0,2
Down,1,5,0,1
Down,2,6,20,2
Down,3,6.0,50.0,1.0
Down,4,6.0,55.0,4.0
Down,5,6.0,57.0,5.0
Down,6,6.0,59.0,6.0
Down,7,7.0,13.0,3.0
Down,8,7,20,2
Down,9,7.0,30.0,1.0
Down,10,7.0,35.0,4.0
Down,11,7.0,37.0,5.0
Down,12,8.0,20.0,6.0
Down,13,8.0,50.0,3.0
Down,14,8.0,58.0,7.0
Down,15,8.0,59.0,8.0
Down,16,9.0,5.0,2.0
Down,17,9.0,13.0,1.0
Down,18,10.0,5.0,6.0
Down,19,10.0,45.0,4.0
Down,20,10.0,53.0,5.0
Down,21,11.0,45.0,3.0
Down,22,11.0,53.0,7.0
Down,23,12.0,45.0,8.0
Down,24,13.0,45.0,2.0
Down,25,13.0,53.0,1.0
Down,26,14.0,30.0,6.0
Down,27,15.0,30.0,4.0
Down,28,15.0,45.0,5.0
Down,29,15.0,53.0,3.0
Down,30,16.0,20.0,8.0
Down,31,16.0,30.0,7.0
Down,32,17.0,20.0,2.0
Down,33,18.0,20.0,1.0
Down,34,19.0,20.0,6.0
Down,35,19.0,45.0,9.0
Down,36,20.0,20.0,4.0
Down,37,20.0,45.0,10.0
Down,38,21.0,20.0,5.0
Down,39,,Total Buses required:,8.0
Summary,0,,Total Buses required on route:,10.0
