Route:- 3860,Date:- 02/01/2018,,,,,,,,Day:- Thursday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,0,0,0,0,0,0,0,0,1,2.22,1,0.12,10,0.14,7,2.22,1,1.16,1,0.06,10,0.06,7,1.16
06:00:01-07:00:00,4,9.76,7,0.78,38,0.47,28,9.76,7,15.56,87,10.37,599,8.17,49,15.56,11,12.79,94,5.4,637,4.12,77,12.79
07:00:01-08:00:00,5,12.2,64,7.09,622,7.66,33.5,11.67,5,11.11,71,8.46,544,7.42,35,11.11,10,11.63,135,7.75,1166,7.55,68,11.3
08:00:01-09:00:00,5,12.2,60,6.64,640,7.88,12,4.18,5,11.11,133,15.85,1291,17.61,35,11.11,10,11.63,193,11.08,1931,12.5,47,7.81
09:00:01-10:00:00,2,4.88,125,13.84,1281,15.77,14,4.88,0,0,42,5.01,396,5.4,0,0,2,2.33,167,9.59,1677,10.85,14,2.33
10:00:01-11:00:00,1,2.44,43,4.76,386,4.75,4.9,1.71,3,6.67,68,8.1,634,8.65,21,6.67,4,4.65,111,6.37,1020,6.6,26,4.32
11:00:01-12:00:00,1,2.44,26,2.88,280,3.45,4.9,1.71,1,2.22,19,2.26,110,1.5,7,2.22,2,2.33,45,2.58,390,2.52,12,1.99
12:00:01-13:00:00,2,4.88,111,12.29,964,11.87,14,4.88,1,2.22,6,0.72,74,1.01,7,2.22,3,3.49,117,6.72,1038,6.72,21,3.49
13:00:01-14:00:00,3,7.32,27,2.99,184,2.27,21,7.32,2,4.44,63,7.51,573,7.82,14,4.44,5,5.81,90,5.17,757,4.9,35,5.81
14:00:01-15:00:00,0,0,48,5.32,424,5.22,0,0,3,6.67,36,4.29,297,4.05,7.2,2.29,3,3.49,84,4.82,721,4.67,7,1.16
15:00:01-16:00:00,2,4.88,14,1.55,126,1.55,14,4.88,1,2.22,23,2.74,210,2.87,7,2.22,3,3.49,37,2.12,336,2.17,21,3.49
16:00:01-17:00:00,4,9.76,69,7.64,494,6.08,28,9.76,2,4.44,36,4.29,378,5.16,14,4.44,6,6.98,105,6.03,872,5.64,42,6.98
17:00:01-18:00:00,4,9.76,85,9.41,682,8.4,28,9.76,4,8.89,113,13.47,1010,13.78,24,7.62,8,9.3,198,11.37,1692,10.95,52,8.64
18:00:01-19:00:00,1,2.44,68,7.53,580,7.14,2.2,0.77,4,8.89,78,9.3,693,9.46,9.6,3.05,5,5.81,146,8.38,1273,8.24,12,1.99
19:00:01-20:00:00,3,7.32,72,7.97,642,7.91,21,7.32,2,4.44,49,5.84,372,5.08,7.4,2.35,5,5.81,121,6.95,1014,6.56,28,4.65
20:00:01-21:00:00,1,2.44,30,3.32,280,3.45,7,2.44,1,2.22,9,1.07,88,1.2,2.4,0.76,2,2.33,39,2.24,368,2.38,9,1.5
21:00:01-22:00:00,2,4.88,44,4.87,404,4.97,14,4.88,2,4.44,5,0.6,50,0.68,14,4.44,4,4.65,49,2.81,454,2.94,28,4.65
22:00:01-23:00:00,1,2.44,10,1.11,94,1.16,7,2.44,1,2.22,0,0,0,0,7,2.22,2,2.33,10,0.57,94,0.61,14,2.33
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,41,,903,,8121,,287,,45,,839,,7329,,315,,86,,1742,,15450,,602,
