,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,5,0,2
Up,2,6.0,0.0,2.0
Up,3,6.0,30.0,1.0
Up,4,6.0,50.0,3.0
Up,5,6.0,55.0,4.0
Up,6,7.0,0.0,2.0
Up,7,7.0,10.0,1.0
Up,8,7.0,17.0,5.0
Up,9,7.0,19.0,6.0
Up,10,8.0,0.0,3.0
Up,11,8.0,30.0,4.0
Up,12,8.0,45.0,2.0
Up,13,8.0,53.0,1.0
Up,14,8.0,57.0,5.0
Up,15,9.0,0.0,6.0
Up,16,9.0,10.0,4.0
Up,17,9.0,30.0,3.0
Up,18,10.0,0.0,7.0
Up,19,10.0,30.0,8.0
Up,20,10.0,45.0,9.0
Up,21,11.0,0.0,2.0
Up,22,11.0,30.0,1.0
Up,23,11.0,45.0,5.0
Up,24,12.0,0.0,6.0
Up,25,12.0,13.0,7.0
Up,26,12.0,30.0,4.0
Up,27,12.0,45.0,3.0
Up,28,13.0,0.0,8.0
Up,29,13.0,13.0,9.0
Up,30,14.0,0.0,2.0
Up,31,14.0,30.0,1.0
Up,32,14.0,45.0,5.0
Up,33,15.0,0.0,6.0
Up,34,15.0,13.0,4.0
Up,35,15.0,17.0,3.0
Up,36,15.0,30.0,7.0
Up,37,16.0,0.0,8.0
Up,38,16.0,5.0,2.0
Up,39,16.0,13.0,1.0
Up,40,16.0,30.0,9.0
Up,41,16.0,45.0,5.0
Up,42,16.0,57.0,10.0
Up,43,17.0,0.0,8.0
Up,44,17.0,17.0,6.0
Up,45,17.0,19.0,4.0
Up,46,17.0,30.0,2.0
Up,47,18.0,0.0,3.0
Up,48,18.0,30.0,7.0
Up,49,19.0,0.0,5.0
Up,50,19.0,30.0,1.0
Up,51,20.0,0.0,9.0
Up,52,20.0,30.0,10.0
Up,53,20.0,45.0,8.0
Up,54,21.0,0.0,6.0
Up,55,21.0,10.0,10.0
Up,56,21.0,13.0,7.0
Up,57,21.0,30.0,4.0
Up,58,21.0,45.0,2.0
Up,59,21.0,53.0,3.0
Up,60,21.0,57.0,9.0
Up,61,22.0,0.0,5.0
Up,62,22.0,10.0,4.0
Up,63,22.0,30.0,1.0
Up,64,22.0,45.0,8.0
Up,65,22.0,53.0,6.0
Up,66,22.0,57.0,10.0
Up,67,22.0,59.0,7.0
Up,68,22.0,60.0,11.0
Up,69,23.0,0.0,2.0
Up,70,23.0,30.0,3.0
Up,71,23.0,45.0,9.0
Up,72,23.0,53.0,5.0
Up,73,,Total Buses required:,5.0
Down,0,4,0,2
Down,1,5,20,2
Down,2,5,30.0,1
Down,3,6.0,20.0,2.0
Down,4,6.0,50.0,1.0
Down,5,6.0,57.0,5.0
Down,6,6.0,59.0,6.0
Down,7,7.0,10.0,3.0
Down,8,7.0,15.0,4.0
Down,9,7.0,20.0,2.0
Down,10,7.0,30.0,1.0
Down,11,7.0,37.0,5.0
Down,12,7.0,39.0,6.0
Down,13,8.0,20.0,3.0
Down,14,8.0,50.0,4.0
Down,15,8.0,59.0,7.0
Down,16,8.0,59.0,8.0
Down,17,8.0,59.0,9.0
Down,18,9.0,5.0,2.0
Down,19,9.0,13.0,1.0
Down,20,9.0,17.0,5.0
Down,21,10.0,53.0,6.0
Down,22,10.0,57.0,4.0
Down,23,10.0,59.0,3.0
Down,24,11.0,53.0,7.0
Down,25,11.0,57.0,8.0
Down,26,12.0,53.0,9.0
Down,27,12.0,57.0,2.0
Down,28,12.0,59.0,1.0
Down,29,13.0,30.0,5.0
Down,30,13.0,45.0,6.0
Down,31,13.0,53.0,7.0
Down,32,14.0,53.0,4.0
Down,33,14.0,57.0,3.0
Down,34,14.0,59.0,8.0
Down,35,14.0,60.0,9.0
Down,36,15.0,5.0,5.0
Down,37,15.0,45.0,2.0
Down,38,15.0,53.0,1.0
Down,39,16.0,20.0,8.0
Down,40,16.0,25.0,2.0
Down,41,16.0,57.0,6.0
Down,42,16.0,59.0,4.0
Down,43,16.0,60.0,3.0
Down,44,16.0,60.0,7.0
Down,45,17.0,5.0,5.0
Down,46,17.0,45.0,1.0
Down,47,17.0,53.0,9.0
Down,48,18.0,45.0,10.0
Down,49,18.0,53.0,8.0
Down,50,18.0,57.0,6.0
Down,51,19.0,45.0,4.0
Down,52,19.0,53.0,2.0
Down,53,19.0,57.0,3.0
Down,54,20.0,20.0,9.0
Down,55,20.0,50.0,10.0
Down,56,20.0,53.0,7.0
Down,57,20.0,57.0,5.0
Down,58,20.0,59.0,1.0
Down,59,21.0,5.0,8.0
Down,60,21.0,20.0,6.0
Down,61,21.0,30.0,10.0
Down,62,21.0,33.0,7.0
Down,63,21.0,50.0,4.0
Down,64,22.0,5.0,2.0
Down,65,22.0,13.0,3.0
Down,66,22.0,17.0,9.0
Down,67,22.0,20.0,5.0
Down,68,22.0,30.0,4.0
Down,69,22.0,50.0,1.0
Down,70,,Total Buses required:,6.0
Summary,0,,Total Buses required on route:,11.0
