,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,0,0
1,05:00:01-06:00:00,1,1
2,06:00:01-07:00:00,3,13
3,07:00:01-08:00:00,6,12
4,08:00:01-09:00:00,5,39
5,09:00:01-10:00:00,4,46
6,10:00:01-11:00:00,4,36
7,11:00:01-12:00:00,2,49
8,12:00:01-13:00:00,5,44
9,13:00:01-14:00:00,6,115
10,14:00:01-15:00:00,2,25
11,15:00:01-16:00:00,5,52
12,16:00:01-17:00:00,6,82
13,17:00:01-18:00:00,3,70
14,18:00:01-19:00:00,3,82
15,19:00:01-20:00:00,4,108
16,20:00:01-21:00:00,3,80
17,21:00:01-22:00:00,6,114
18,22:00:01-23:00:00,8,44
19,23:00:01-24:00:00,5,23
