,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,4,20
2,06:00:01-07:00:00,5,158
3,07:00:01-08:00:00,6,230
4,08:00:01-09:00:00,6,255
5,09:00:01-10:00:00,5,374
6,10:00:01-11:00:00,4,153
7,11:00:01-12:00:00,3,91
8,12:00:01-13:00:00,4,174
9,13:00:01-14:00:00,2,149
10,14:00:01-15:00:00,4,106
11,15:00:01-16:00:00,4,96
12,16:00:01-17:00:00,1,75
13,17:00:01-18:00:00,2,65
14,18:00:01-19:00:00,1,87
15,19:00:01-20:00:00,3,219
16,20:00:01-21:00:00,4,166
17,21:00:01-22:00:00,3,130
18,22:00:01-23:00:00,0,16
19,23:00:01-24:00:00,0,0
