,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,6,0,2
Up,2,6,30.0,3.0
Up,3,6,45.0,1
Up,4,7,0,4.0
Up,5,7,30.0,5.0
Up,6,7,45.0,6.0
Up,7,7,53.0,2
Up,8,7.0,59.0,7.0
Up,9,8.0,0.0,1.0
Up,10,8.0,10.0,5.0
Up,11,8.0,19.0,3.0
Up,12,8.0,20.0,8.0
Up,13,8.0,30.0,4.0
Up,14,8.0,48.0,9.0
Up,15,8.0,51.0,10.0
Up,16,8.0,54.0,11.0
Up,17,8.0,57.0,12.0
Up,18,9.0,0.0,6.0
Up,19,9.0,0.0,8.0
Up,20,9.0,10.0,4.0
Up,21,9.0,18.0,13.0
Up,22,9.0,30.0,2.0
Up,23,9.0,45.0,7.0
Up,24,9.0,53.0,1.0
Up,25,9.0,57.0,5.0
Up,26,9.0,59.0,3.0
Up,27,10.0,0.0,14.0
Up,28,10.0,10.0,2.0
Up,29,10.0,30.0,9.0
Up,30,10.0,45.0,10.0
Up,31,10.0,53.0,11.0
Up,32,10.0,57.0,12.0
Up,33,10.0,59.0,6.0
Up,34,10.0,60.0,8.0
Up,35,10.0,60.0,4.0
Up,36,10.0,60.0,13.0
Up,37,11.0,0.0,15.0
Up,38,11.0,10.0,9.0
Up,39,11.0,30.0,16.0
Up,40,11.0,45.0,7.0
Up,41,11.0,53.0,1.0
Up,42,11.0,57.0,5.0
Up,43,11.0,59.0,3.0
Up,44,11.0,60.0,14.0
Up,45,11.0,60.0,2.0
Up,46,12.0,0.0,17.0
Up,47,12.0,30.0,18.0
Up,48,12.0,45.0,19.0
Up,49,12.0,53.0,10.0
Up,50,12.0,57.0,11.0
Up,51,12.0,59.0,12.0
Up,52,13.0,0.0,6.0
Up,53,13.0,30.0,8.0
Up,54,13.0,45.0,4.0
Up,55,13.0,53.0,13.0
Up,56,14.0,0.0,15.0
Up,57,14.0,30.0,9.0
Up,58,14.0,45.0,7.0
Up,59,14.0,53.0,1.0
Up,60,15.0,0.0,5.0
Up,61,15.0,30.0,3.0
Up,62,15.0,45.0,14.0
Up,63,15.0,53.0,2.0
Up,64,15.0,57.0,16.0
Up,65,16.0,0.0,19.0
Up,66,16.0,30.0,10.0
Up,67,16.0,45.0,17.0
Up,68,16.0,53.0,18.0
Up,69,16.0,57.0,11.0
Up,70,16.0,59.0,12.0
Up,71,17.0,0.0,6.0
Up,72,17.0,30.0,8.0
Up,73,17.0,45.0,7.0
Up,74,17.0,53.0,1.0
Up,75,17.0,57.0,4.0
Up,76,18.0,0.0,13.0
Up,77,18.0,30.0,15.0
Up,78,18.0,45.0,9.0
Up,79,18.0,53.0,14.0
Up,80,18.0,57.0,2.0
Up,81,18.0,59.0,16.0
Up,82,18.0,60.0,19.0
Up,83,19.0,0.0,5.0
Up,84,19.0,30.0,3.0
Up,85,19.0,45.0,17.0
Up,86,19.0,53.0,18.0
Up,87,,Total Buses required:,6.0
Down,0,4,0,2
Down,1,4.0,12.0,3.0
Down,2,4,20,1
Down,3,4.0,24.0,4.0
Down,4,4.0,36.0,5.0
Down,5,4.0,48.0,6.0
Down,6,6,20,2
Down,7,7.0,5.0,1.0
Down,8,7.0,20.0,4.0
Down,9,7.0,50.0,5.0
Down,10,7,59.0,3.0
Down,11,7.0,60.0,8.0
Down,12,8.0,5.0,6.0
Down,13,8.0,13.0,2.0
Down,14,8.0,19.0,7.0
Down,15,8.0,20.0,1.0
Down,16,8.0,30.0,5.0
Down,17,8.0,39.0,3.0
Down,18,8.0,40.0,8.0
Down,19,8.0,50.0,4.0
Down,20,8.0,58.0,13.0
Down,21,8.0,59.0,14.0
Down,22,9.0,8.0,9.0
Down,23,9.0,11.0,10.0
Down,24,9.0,14.0,11.0
Down,25,9.0,17.0,12.0
Down,26,9.0,20.0,6.0
Down,27,9.0,20.0,8.0
Down,28,9.0,30.0,4.0
Down,29,9.0,38.0,13.0
Down,30,9.0,50.0,2.0
Down,31,9.0,60.0,15.0
Down,32,9.0,60.0,16.0
Down,33,10.0,5.0,7.0
Down,34,10.0,13.0,1.0
Down,35,10.0,17.0,5.0
Down,36,10.0,19.0,3.0
Down,37,10.0,20.0,14.0
Down,38,10.0,30.0,2.0
Down,39,10.0,50.0,9.0
Down,40,10.0,60.0,17.0
Down,41,10.0,60.0,18.0
Down,42,10.0,60.0,19.0
Down,43,11.0,5.0,10.0
Down,44,11.0,13.0,11.0
Down,45,11.0,17.0,12.0
Down,46,11.0,19.0,6.0
Down,47,11.0,20.0,8.0
Down,48,11.0,20.0,4.0
Down,49,11.0,20.0,13.0
Down,50,11.0,20.0,15.0
Down,51,11.0,30.0,9.0
Down,52,12.0,5.0,7.0
Down,53,12.0,13.0,1.0
Down,54,12.0,17.0,5.0
Down,55,12.0,19.0,3.0
Down,56,12.0,20.0,14.0
Down,57,12.0,20.0,2.0
Down,58,12,60.0,16.0
Down,59,13.0,5.0,19.0
Down,60,13.0,13.0,10.0
Down,61,13,57.0,17.0
Down,62,13,59.0,18.0
Down,63,14,57.0,11.0
Down,64,14,59.0,12.0
Down,65,14,60.0,6.0
Down,66,14,60.0,8.0
Down,67,15.0,5.0,7.0
Down,68,15.0,13.0,1.0
Down,69,15,59.0,4.0
Down,70,15,60.0,13.0
Down,71,15,60.0,15.0
Down,72,15,60.0,9.0
Down,73,16.0,5.0,14.0
Down,74,16.0,13.0,2.0
Down,75,16.0,17.0,16.0
Down,76,16.0,20.0,19.0
Down,77,16,60.0,5.0
Down,78,16,60.0,3.0
Down,79,17.0,5.0,17.0
Down,80,17.0,13.0,18.0
Down,81,17.0,17.0,11.0
Down,82,17.0,19.0,12.0
Down,83,17,59.0,10.0
Down,84,18.0,5.0,7.0
Down,85,18.0,13.0,1.0
Down,86,18.0,17.0,4.0
Down,87,18.0,20.0,13.0
Down,88,18.0,50.0,15.0
Down,89,18,60.0,6.0
Down,90,18,60.0,8.0
Down,91,19.0,5.0,9.0
Down,92,19.0,13.0,14.0
Down,93,,Total Buses required:,13.0
Summary,0,,Total Buses required on route:,19.0
