,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,1,5
1,05:00:01-06:00:00,0,0
2,06:00:01-07:00:00,5,74
3,07:00:01-08:00:00,9,135
4,08:00:01-09:00:00,10,144
5,09:00:01-10:00:00,11,114
6,10:00:01-11:00:00,11,86
7,11:00:01-12:00:00,7,100
8,12:00:01-13:00:00,9,146
9,13:00:01-14:00:00,9,205
10,14:00:01-15:00:00,7,152
11,15:00:01-16:00:00,8,296
12,16:00:01-17:00:00,7,297
13,17:00:01-18:00:00,8,401
14,18:00:01-19:00:00,11,519
15,19:00:01-20:00:00,9,534
16,20:00:01-21:00:00,9,449
17,21:00:01-22:00:00,6,303
18,22:00:01-23:00:00,4,124
19,23:00:01-24:00:00,0,16
