,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,0,0
2,06:00:01-07:00:00,5,59
3,07:00:01-08:00:00,9,108
4,08:00:01-09:00:00,9,138
5,09:00:01-10:00:00,9,101
6,10:00:01-11:00:00,11,124
7,11:00:01-12:00:00,7,141
8,12:00:01-13:00:00,7,207
9,13:00:01-14:00:00,6,191
10,14:00:01-15:00:00,8,215
11,15:00:01-16:00:00,9,337
12,16:00:01-17:00:00,6,274
13,17:00:01-18:00:00,9,311
14,18:00:01-19:00:00,6,328
15,19:00:01-20:00:00,7,319
16,20:00:01-21:00:00,6,214
17,21:00:01-22:00:00,7,174
18,22:00:01-23:00:00,4,144
19,23:00:01-24:00:00,0,2
