,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,6,82
1,05:00:01-06:00:00,2,57
2,06:00:01-07:00:00,9,119
3,07:00:01-08:00:00,11,214
4,08:00:01-09:00:00,11,320
5,09:00:01-10:00:00,10,502
6,10:00:01-11:00:00,11,461
7,11:00:01-12:00:00,9,334
8,12:00:01-13:00:00,7,474
9,13:00:01-14:00:00,7,431
10,14:00:01-15:00:00,6,489
11,15:00:01-16:00:00,7,482
12,16:00:01-17:00:00,11,584
13,17:00:01-18:00:00,8,584
14,18:00:01-19:00:00,11,883
15,19:00:01-20:00:00,7,753
16,20:00:01-21:00:00,6,542
17,21:00:01-22:00:00,5,448
18,22:00:01-23:00:00,6,363
19,23:00:01-24:00:00,5,259
