,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,4,16
2,06:00:01-07:00:00,9,133
3,07:00:01-08:00:00,8,295
4,08:00:01-09:00:00,8,230
5,09:00:01-10:00:00,5,260
6,10:00:01-11:00:00,5,176
7,11:00:01-12:00:00,5,150
8,12:00:01-13:00:00,5,202
9,13:00:01-14:00:00,1,62
10,14:00:01-15:00:00,1,68
11,15:00:01-16:00:00,3,57
12,16:00:01-17:00:00,0,98
13,17:00:01-18:00:00,1,123
14,18:00:01-19:00:00,4,165
15,19:00:01-20:00:00,3,175
16,20:00:01-21:00:00,2,168
17,21:00:01-22:00:00,2,160
18,22:00:01-23:00:00,4,111
19,23:00:01-24:00:00,2,23
