,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,1,0
2,06:00:01-07:00:00,5,78
3,07:00:01-08:00:00,8,148
4,08:00:01-09:00:00,4,111
5,09:00:01-10:00:00,4,143
6,10:00:01-11:00:00,4,57
7,11:00:01-12:00:00,3,33
8,12:00:01-13:00:00,3,33
9,13:00:01-14:00:00,4,49
10,14:00:01-15:00:00,4,49
11,15:00:01-16:00:00,2,19
12,16:00:01-17:00:00,3,29
13,17:00:01-18:00:00,3,36
14,18:00:01-19:00:00,3,30
15,19:00:01-20:00:00,3,5
16,20:00:01-21:00:00,3,28
17,21:00:01-22:00:00,4,29
18,22:00:01-23:00:00,4,15
19,23:00:01-24:00:00,1,2
