,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,0,17
1,05:00:01-06:00:00,0,0
2,06:00:01-07:00:00,0,0
3,07:00:01-08:00:00,2,7
4,08:00:01-09:00:00,1,58
5,09:00:01-10:00:00,2,137
6,10:00:01-11:00:00,3,113
7,11:00:01-12:00:00,1,93
8,12:00:01-13:00:00,1,154
9,13:00:01-14:00:00,3,100
10,14:00:01-15:00:00,0,69
11,15:00:01-16:00:00,1,41
12,16:00:01-17:00:00,2,46
13,17:00:01-18:00:00,0,81
14,18:00:01-19:00:00,3,100
15,19:00:01-20:00:00,0,53
16,20:00:01-21:00:00,1,33
17,21:00:01-22:00:00,0,49
18,22:00:01-23:00:00,1,26
19,23:00:01-24:00:00,1,23
