,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,0,0
2,06:00:01-07:00:00,2,27
3,07:00:01-08:00:00,4,130
4,08:00:01-09:00:00,2,93
5,09:00:01-10:00:00,2,52
6,10:00:01-11:00:00,1,47
7,11:00:01-12:00:00,2,64
8,12:00:01-13:00:00,2,24
9,13:00:01-14:00:00,1,54
10,14:00:01-15:00:00,2,66
11,15:00:01-16:00:00,1,79
12,16:00:01-17:00:00,2,134
13,17:00:01-18:00:00,2,61
14,18:00:01-19:00:00,1,93
15,19:00:01-20:00:00,1,50
16,20:00:01-21:00:00,2,82
17,21:00:01-22:00:00,1,69
18,22:00:01-23:00:00,0,19
19,23:00:01-24:00:00,,
