,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,2,35
2,06:00:01-07:00:00,5,47
3,07:00:01-08:00:00,9,167
4,08:00:01-09:00:00,9,298
5,09:00:01-10:00:00,8,363
6,10:00:01-11:00:00,8,243
7,11:00:01-12:00:00,5,181
8,12:00:01-13:00:00,7,152
9,13:00:01-14:00:00,7,108
10,14:00:01-15:00:00,2,108
11,15:00:01-16:00:00,5,149
12,16:00:01-17:00:00,7,90
13,17:00:01-18:00:00,1,159
14,18:00:01-19:00:00,3,276
15,19:00:01-20:00:00,4,188
16,20:00:01-21:00:00,4,153
17,21:00:01-22:00:00,6,124
18,22:00:01-23:00:00,3,99
19,23:00:01-24:00:00,4,7
