,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,7,46
1,05:00:01-06:00:00,7,113
2,06:00:01-07:00:00,10,214
3,07:00:01-08:00:00,12,186
4,08:00:01-09:00:00,9,268
5,09:00:01-10:00:00,10,227
6,10:00:01-11:00:00,7,233
7,11:00:01-12:00:00,7,218
8,12:00:01-13:00:00,3,170
9,13:00:01-14:00:00,5,193
10,14:00:01-15:00:00,6,213
11,15:00:01-16:00:00,7,244
12,16:00:01-17:00:00,9,371
13,17:00:01-18:00:00,7,233
14,18:00:01-19:00:00,5,153
15,19:00:01-20:00:00,3,150
16,20:00:01-21:00:00,3,111
17,21:00:01-22:00:00,6,111
18,22:00:01-23:00:00,3,33
19,23:00:01-24:00:00,2,6
