,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,9,201
1,05:00:01-06:00:00,6,91
2,06:00:01-07:00:00,9,184
3,07:00:01-08:00:00,17,558
4,08:00:01-09:00:00,10,918
5,09:00:01-10:00:00,13,876
6,10:00:01-11:00:00,8,712
7,11:00:01-12:00:00,4,492
8,12:00:01-13:00:00,5,388
9,13:00:01-14:00:00,6,415
10,14:00:01-15:00:00,5,358
11,15:00:01-16:00:00,13,563
12,16:00:01-17:00:00,6,650
13,17:00:01-18:00:00,7,659
14,18:00:01-19:00:00,11,829
15,19:00:01-20:00:00,11,983
16,20:00:01-21:00:00,9,766
17,21:00:01-22:00:00,7,722
18,22:00:01-23:00:00,5,445
19,23:00:01-24:00:00,7,339
