,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,10,172
1,05:00:01-06:00:00,8,83
2,06:00:01-07:00:00,12,241
3,07:00:01-08:00:00,16,455
4,08:00:01-09:00:00,13,853
5,09:00:01-10:00:00,12,817
6,10:00:01-11:00:00,8,653
7,11:00:01-12:00:00,9,521
8,12:00:01-13:00:00,4,392
9,13:00:01-14:00:00,9,520
10,14:00:01-15:00:00,8,530
11,15:00:01-16:00:00,10,584
12,16:00:01-17:00:00,10,605
13,17:00:01-18:00:00,11,599
14,18:00:01-19:00:00,9,792
15,19:00:01-20:00:00,10,985
16,20:00:01-21:00:00,9,764
17,21:00:01-22:00:00,6,681
18,22:00:01-23:00:00,6,443
19,23:00:01-24:00:00,5,271
